,symbol,category,strike,ask,bid,due_date,ativo_alvo,volume,type,close,Dif.Book,p.strike,tmoney,Max_dif_book,VI_bid,VI_ask,days_to_maturity,delta_bid,delta_ask,in/on
654,BPACP35,PUT,34.92,0.69,0.65,2024-04-19,BPAC11,0.0,PUT,36.36,0.039999999999999925,3.960396039603954,ATM,0.3636,26.618779290708417,27.48094158020955,37,-1.6500685395826054e-05,-6.804388874570577e-06,ITM
655,BPACP354,PUT,35.42,0.84,0.8,2024-04-19,BPAC11,0.0,PUT,36.36,0.039999999999999925,2.5852585258525793,ATM,0.3636,26.360785408261982,27.16365925805675,37,-2.1557320506460087e-05,-9.525746413885372e-06,ITM
656,BPACP356,PUT,35.67,0.93,0.89,2024-04-19,BPAC11,0.0,PUT,36.36,0.040000000000000036,1.8976897689768915,ATM,0.3636,26.35162777187053,27.131050272672734,37,-2.1835714714146803e-05,-9.887361451799137e-06,ITM
657,RADLO250,PUT,25.0,0.23,0.12,2024-03-15,RADL3,0.0,PUT,26.45,0.11000000000000001,5.482041587901699,ATM,0.2645,27.399981285856057,34.880754475309416,12,-0.13503036595328144,-0.006839173763906192,ITM
658,RADLO255,PUT,25.5,0.33,0.2,2024-03-15,RADL3,0.0,PUT,26.45,0.13,3.591682419659733,ATM,0.2645,26.211620706028917,33.33432896073098,12,-0.20702544129985734,-0.013482407546272501,ITM
659,RADLO260,PUT,26.0,0.42,0.38,2024-03-15,RADL3,1000.0,PUT,26.45,0.03999999999999998,1.701323251417767,ATM,0.2645,27.72742276027475,29.602856271403542,12,-0.12266965348356473,-0.06115835436111272,ITM
660,RADLC275,CALL,27.5,0.36,0.23,2024-03-15,RADL3,0.0,CALL,26.45,0.12999999999999998,3.969754253308131,ATM,0.2645,24.412837788075535,30.908784115403186,12,99.60622001447203,99.96206623717777,OTM
661,RADLC280,CALL,28.0,0.23,0.15,2024-03-15,RADL3,0.0,CALL,26.45,0.08000000000000002,5.860113421550097,ATM,0.2645,25.8720191539619,30.685838744481902,12,99.75514878337182,99.95817033719993,OTM
662,RADLP250,PUT,25.0,0.43,0.34,2024-04-19,RADL3,0.0,PUT,26.45,0.08999999999999997,5.482041587901699,ATM,0.2645,25.87630640672215,28.822506400263627,37,-3.4356181743966374e-05,-1.613282030188401e-06,ITM
663,RADLP252,PUT,25.25,0.5,0.41,2024-04-19,RADL3,0.0,PUT,26.45,0.09000000000000002,4.5368620037807155,ATM,0.2645,26.04508826314078,28.798567332486318,37,-2.9226395126258353e-05,-1.6644644662555663e-06,ITM
664,RADLP255,PUT,25.5,0.57,0.48,2024-04-19,RADL3,0.0,PUT,26.45,0.08999999999999997,3.591682419659733,ATM,0.2645,25.951531783781157,28.55694562187393,37,-3.222739738406588e-05,-2.174633373375201e-06,ITM
665,RADLP260,PUT,26.0,0.74,0.65,2024-04-19,RADL3,0.0,PUT,26.45,0.08999999999999997,1.701323251417767,ATM,0.2645,25.8962693452768,28.285744932129408,37,-3.437982958320873e-05,-2.941108756537858e-06,ITM
666,RADLD280,CALL,28.0,0.59,0.49,2024-04-19,RADL3,0.0,CALL,26.45,0.09999999999999998,5.860113421550097,ATM,0.2645,22.696706185504233,25.369236251387694,37,99.99929977508096,99.99994020261512,OTM
667,MRFGC910,CALL,9.1,0.69,0.65,2024-03-15,MRFG3,1800.0,CALL,9.6,0.039999999999999925,5.208333333333334,ATM,0.096,36.846122126975885,43.049654062357135,12,99.99718206812366,99.999872046713,ITM
668,MRFGO910,PUT,9.1,0.15,0.12,2024-03-15,MRFG3,0.0,PUT,9.6,0.03,5.208333333333334,ATM,0.096,39.788787507214714,44.33618510542375,12,-0.0006866410887540475,-6.376766015225854e-05,ITM
669,MRFGC930,CALL,9.3,0.55,0.51,2024-03-15,MRFG3,3300.0,CALL,9.6,0.040000000000000036,3.124999999999989,ATM,0.096,37.02291128892722,42.37426393938005,12,99.99737403996471,99.99981487903811,ITM
670,MRFGC970,CALL,9.7,0.34,0.3,2024-03-15,MRFG3,0.0,CALL,9.6,0.040000000000000036,1.041666666666663,ATM,0.096,38.624786154995405,43.41128812755485,12,99.9987439832071,99.99989102810845,OTM
671,MRFGC980,CALL,9.8,0.29,0.22,2024-03-15,MRFG3,3700.0,CALL,9.6,0.06999999999999998,2.0833333333333446,ATM,0.096,34.18401545724101,42.6442208555352,12,99.99033961503125,99.99983501616137,OTM
672,MRFGC990,CALL,9.9,0.25,0.21,2024-03-15,MRFG3,0.0,CALL,9.6,0.04000000000000001,3.1250000000000075,ATM,0.096,37.62801271761089,42.56286825831345,12,99.99795607639263,99.99982684891451,OTM
673,MRFGC100,CALL,10.0,0.21,0.19,2024-03-15,MRFG3,7700.0,CALL,9.6,0.01999999999999999,4.1666666666666705,ATM,0.096,39.409219298600874,41.95821768097613,12,99.999129577344,99.99976091396353,OTM
674,CPLEO982,PUT,9.82,0.05,0.02,2024-03-15,CPLE6,0.0,PUT,10.23,0.030000000000000002,4.007820136852396,ATM,0.1023,17.27813240523144,23.279112303678666,12,-2.888308447352683,-0.5400593617474025,ITM
675,CPLEC100,CALL,10.02,0.36,0.33,2024-03-15,CPLE6,0.0,CALL,10.23,0.02999999999999997,2.052785923753674,ATM,0.1023,18.88625964530608,22.91277138726626,12,98.06325676315745,99.38810310797989,ITM
676,CPLEO100,PUT,10.02,0.1,0.08,2024-03-15,CPLE6,200.0,PUT,10.23,0.020000000000000004,2.052785923753674,ATM,0.1023,20.734879309065345,23.372523676852296,12,-1.1660678256889656,-0.5305296105892032,ITM
677,CPLEO102,PUT,10.27,0.2,0.17,2024-03-15,CPLE6,0.0,PUT,10.23,0.03,0.3910068426197375,ATM,0.1023,19.928347689480084,23.301919163507797,12,-1.4826470940555447,-0.5499447858348439,OTM
678,CPLEC105,CALL,10.52,0.11,0.08,2024-03-15,CPLE6,0.0,CALL,10.23,0.03,2.834799608993149,ATM,0.1023,19.12412407076644,22.889503477930198,12,98.12921237125329,99.36652316585848,OTM
679,CPLEC107,CALL,10.77,0.07,0.03,2024-03-15,CPLE6,0.0,CALL,10.23,0.04000000000000001,5.27859237536656,ATM,0.1023,19.180002169067805,26.022179656415368,12,98.13150365463123,99.76808595142414,OTM
680,CPLEO107,PUT,10.77,0.55,0.52,2024-03-15,CPLE6,0.0,PUT,10.23,0.030000000000000027,5.27859237536656,ATM,0.1023,20.63374412579545,25.645343999866093,12,-1.2510075245883434,-0.2636200827460966,OTM
681,CPLEP980,PUT,9.8,0.12,0.09,2024-04-19,CPLE6,0.0,PUT,10.23,0.03,4.203323558162265,ATM,0.1023,19.51609911877324,22.12931889040378,37,-0.00894734431831079,-0.0010844853401081878,ITM
