,symbol,category,days_to_maturity,strike,ask,bid,volume,due_date,moneyness,Preco_ativo,Volatilidade Implicita(ask),Volatilidade Implicita(bid)
332,PETRD374,CALL,60,36.26,0.0,0.0,18600,2024-04-19,ATM,39.26,-0.9478395124502144,-0.9478395124502144
337,PETRD381,CALL,60,37.01,0.0,2.75,1100,2024-04-19,ATM,39.26,-0.7672823221318933,2.0
339,PETRD384,CALL,60,37.26,0.0,0.0,15200,2024-04-19,ATM,39.26,-0.7079065946319645,-0.7079065946319645
341,PETRD386,CALL,60,37.51,0.0,1.52,700,2024-04-19,ATM,39.26,-0.6489268629037176,2.0
342,PETRD389,CALL,60,37.76,0.0,0.0,20300,2024-04-19,ATM,39.26,-0.5903378818181455,-0.5903378818181455
344,PETRD379,CALL,60,38.01,0.0,3.25,183700,2024-04-19,ATM,39.26,-0.532197677603871,25.38566825400152
346,PETRD394,CALL,60,38.26,3.05,0.76,57900,2024-04-19,ATM,39.26,24.780685572569833,-0.9638111777119582
348,PETRD396,CALL,60,38.51,3.51,0.01,6800,2024-04-19,ATM,39.26,33.527507942770384,-0.9888038126236351
351,PETRD391,CALL,60,39.01,2.59,2.41,65300,2024-04-19,ATM,39.26,24.664037709001246,22.152624111108874
353,PETRD404,CALL,60,39.26,0.0,0.0,20800,2024-04-19,ATM,39.26,-0.24672773021307703,-0.24672773021307703
356,PETRD398,CALL,60,39.76,2.16,1.0,800,2024-04-19,ATM,39.26,24.356910402571987,8.689376373115621
