;symbol;Volatilidade Implicita(ask);Volatilidade Implicita(bid)
240;PETRO362;27.89294661567784;27.377201935804464
242;PETRO376;27.541888787666046;27.297313048757495
244;PETRO296;27.344350609538843;27.111748102853717
246;PETRO381;27.274039194410904;26.83020222887385
248;PETRO372;27.09794637565455;26.673036864952632
250;PETRO386;26.824293400984423;26.415536247827042
252;PETRO400;26.852230692264573;26.261552597817467
254;PETRO391;26.577439469457914;26.196175957547684
256;PETRO382;26.39316238565486;26.022578865053102
258;PETRO396;26.288621081062523;25.927110737139675
260;PETRO38;26.255782079931688;25.72455782255478
262;PETRO401;26.115035487081308;25.94087268880749
264;PETRO406;26.032129599602825;25.34933178331858
266;PETRO39;25.915592948994398;25.06530506420061
