,symbol,category,days_to_maturity,strike,close,ask,bid,moneyness,volatility,Preco_ativo,Volatilidade Implicita
224,PETRO365,CALL,16,34.26,0.23,0.23,0.22,ATM,26.077,38.62,30.109843056703667
225,PETRC349,CALL,16,34.51,4.88,4.88,4.79,ATM,33.987,38.62,27.619250654358396
226,PETRO349,CALL,16,34.51,0.25,0.26,0.24,ATM,25.997,38.62,30.01290616016551
227,PETRC34,CALL,16,34.76,4.67,4.67,4.57,ATM,43.843,38.62,27.80579513738763
228,PETRO34,CALL,16,34.76,0.25,0.28,0.26,ATM,25.528,38.62,29.48416758647751
229,PETRC356,CALL,16,35.01,4.56,4.45,4.05,ATM,34.527,38.62,27.509771535049964
230,PETRO356,CALL,16,35.01,0.28,0.31,0.29,ATM,24.984,38.62,29.217483206706802
231,PETRC352,CALL,16,35.26,4.34,4.23,4.14,ATM,43.787,38.62,27.132461424110517
232,PETRO352,CALL,16,35.26,0.3,0.34,0.32,ATM,24.858,38.62,28.86871053766205
233,PETRC366,CALL,16,35.51,4.02,4.02,3.93,ATM,32.766,38.62,26.97778012114845
234,PETRO366,CALL,16,35.51,0.34,0.37,0.36,ATM,24.618,38.62,28.445296463493513
235,PETRC369,CALL,16,35.76,3.81,3.81,3.73,ATM,32.72,38.62,26.72232346685269
236,PETRO369,CALL,16,35.76,0.41,0.41,0.4,ATM,24.051,38.62,28.21895707439938
237,PETRC371,CALL,16,36.01,3.48,3.61,3.52,ATM,32.186,38.62,26.637836272498994
238,PETRO371,CALL,16,36.01,0.45,0.46,0.44,ATM,23.615,38.62,28.153613763700662
239,PETRC362,CALL,16,36.26,3.45,3.39,3.32,ATM,30.817,38.62,25.948193802029145
240,PETRO362,CALL,16,36.26,0.5,0.5,0.49,ATM,23.491,38.62,27.742899186806863
241,PETRC376,CALL,16,36.51,3.18,3.2,3.13,ATM,30.904,38.62,25.915724776673493
242,PETRO376,CALL,16,36.51,0.55,0.55,0.54,ATM,23.438,38.62,27.484737814130344
243,PETRC296,CALL,16,36.76,2.73,2.99,2.94,ATM,30.338,38.62,25.316927663007004
244,PETRO296,CALL,16,36.76,0.6,0.61,0.59,ATM,22.88,38.62,27.35407707836666
245,PETRC381,CALL,16,37.01,2.86,2.81,2.76,ATM,29.51,38.62,25.29666841202176
246,PETRO381,CALL,16,37.01,0.66,0.68,0.66,ATM,20.194,38.62,27.330193691091992
247,PETRC372,CALL,16,37.26,2.6,2.63,2.58,ATM,29.847,38.62,25.15740345311306
248,PETRO372,CALL,16,37.26,0.74,0.74,0.72,ATM,22.179,38.62,26.994242251766188
249,PETRC386,CALL,16,37.51,2.44,2.46,2.41,ATM,28.847,38.62,25.106686060977307
250,PETRO386,CALL,16,37.51,0.77,0.82,0.8,ATM,19.005,38.62,26.958540673669468
251,PETRC400,CALL,16,37.76,2.25,2.28,2.24,ATM,28.632,38.62,24.748562473185455
252,PETRO400,CALL,16,37.76,0.88,0.9,0.88,ATM,21.346,38.62,26.81321640377796
253,PETRC391,CALL,16,38.01,2.1,2.12,2.08,ATM,28.662,38.62,24.66407087656034
254,PETRO391,CALL,16,38.01,0.97,0.98,0.96,ATM,21.082,38.62,26.564382081990402
255,PETRC382,CALL,16,38.26,1.9,1.96,1.93,ATM,27.898,38.62,24.464463871176324
256,PETRO382,CALL,16,38.26,1.06,1.08,1.05,ATM,20.679,38.62,26.57634406113293
257,PETRC396,CALL,16,38.51,1.82,1.82,1.78,ATM,27.721,38.62,24.509345618147258
258,PETRO396,CALL,16,38.51,1.19,1.17,1.15,ATM,20.306,38.62,26.300384445799303
259,PETRC38,CALL,16,38.76,1.7,1.68,1.64,ATM,27.613,38.62,24.434172325380217
260,PETRO38,CALL,16,38.76,1.27,1.28,1.26,ATM,19.957,38.62,26.271727821131996
261,PETRC401,CALL,16,39.01,1.59,1.54,1.5,ATM,27.751,38.62,24.243085927190926
262,PETRO401,CALL,16,39.01,1.39,1.39,1.37,ATM,19.449,38.62,26.13400365545024
263,PETRC406,CALL,16,39.51,1.27,1.3,1.26,ATM,26.638,38.62,24.202280366523212
264,PETRO406,CALL,16,39.51,1.6,1.64,1.6,ATM,18.258,38.62,26.05141998459765
265,PETRC39,CALL,16,39.76,1.12,1.18,1.14,ATM,26.45,38.62,24.00696315871016
266,PETRO39,CALL,16,39.76,1.62,1.78,1.72,ATM,11.584,38.62,26.106231002735385
267,PETRC411,CALL,16,40.01,1.08,1.07,1.04,ATM,26.34,38.62,23.86685665624771
268,PETRO411,CALL,16,40.01,1.79,1.93,1.83,ATM,17.689,38.62,26.228246945895012
269,PETRC402,CALL,16,40.26,0.95,0.97,0.94,ATM,26.118,38.62,23.78387360937302
270,PETRO402,CALL,16,40.26,1.98,2.08,1.97,ATM,15.402,38.62,26.247108629557747
271,PETRC416,CALL,16,40.51,0.92,0.87,0.85,ATM,25.984,38.62,23.582552017323216
272,PETRO416,CALL,16,40.51,2.08,2.23,2.13,ATM,17.016,38.62,26.162129018347624
273,PETRC421,CALL,16,41.01,0.69,0.71,0.69,ATM,25.807,38.62,23.554909832947736
274,PETRO421,CALL,16,41.01,2.46,2.56,2.5,ATM,11.585,38.62,26.222933594037475
275,PETRC426,CALL,16,41.51,0.58,0.58,0.56,ATM,25.408,38.62,23.659230004492333
276,PETRO426,CALL,16,41.51,2.77,2.92,2.82,ATM,21.091,38.62,26.45710870146053
277,PETRC431,CALL,16,42.01,0.45,0.46,0.45,ATM,25.874,38.62,23.53393045266046
278,PETRO431,CALL,16,42.01,3.24,3.3,3.21,ATM,0.0,38.62,26.727299939833888
279,PETRC436,CALL,16,42.51,0.36,0.37,0.35,ATM,25.408,38.62,23.651330143872805
280,PETRO436,CALL,16,42.51,3.6,3.7,3.6,ATM,8.429,38.62,27.085736964825806
281,PETRC441,CALL,16,43.01,0.28,0.3,0.28,ATM,25.465,38.62,23.886071938107598
282,PETRO441,CALL,16,43.01,4.01,4.12,4.02,ATM,0.821,38.62,27.60032425783271
283,PETRC446,CALL,16,43.51,0.25,0.24,0.22,ATM,25.544,38.62,24.04389903413517
284,PETRC451,CALL,16,44.01,0.2,0.19,0.17,ATM,25.732,38.62,24.161804171854573
285,PETRO451,CALL,16,44.01,4.89,5.0,4.9,ATM,76.625,38.62,28.89757157969698
286,PETRC456,CALL,16,44.51,0.15,0.15,0.13,ATM,26.155,38.62,24.29482394374957
287,PETRO456,CALL,16,44.51,5.22,5.56,5.11,ATM,28.597,38.62,32.649641817243825
288,PETRC461,CALL,16,45.01,0.12,0.12,0.1,ATM,26.348,38.62,24.527884626257798
289,PETRC45,CALL,16,45.51,0.08,0.1,0.08,ATM,25.401,38.62,24.985937621260483
290,PETRO45,CALL,16,45.51,6.27,7.31,6.06,ATM,0.0,38.62,54.27713802513819
291,PETRC459,CALL,16,46.01,0.07,0.08,0.06,ATM,26.641,38.62,25.21526126241067
292,PETRC464,CALL,16,46.51,0.05,0.06,0.05,ATM,27.855,38.62,25.14537046247854
293,PETRC469,CALL,16,47.01,0.03,0.05,0.04,ATM,26.797,38.62,25.574565735037613
