,symbol,category,days_to_maturity,strike,close,ask,bid,moneyness,volatility,Preco_ativo,Volatilidade Implicita
35,PETRB301,CALL,16,29.51,9.19,9.35,8.53,ATM,63.229,38.62,49.89201957591883
36,PETRN301,CALL,16,29.51,0.01,0.02,0.0,ATM,40.531,38.62,49.66818693098254
37,PETRB306,CALL,16,29.76,9.24,9.09,9.01,ATM,64.922,38.62,43.528255726661556
38,PETRN306,CALL,16,29.76,0.01,0.02,0.01,ATM,39.311,38.62,48.32953281080899
39,PETRB309,CALL,16,30.01,8.82,8.85,8.76,ATM,53.626,38.62,45.95101845446138
40,PETRN309,CALL,16,30.01,0.01,0.02,0.01,ATM,41.756,38.62,46.998978766090104
41,PETRB314,CALL,16,30.26,8.57,8.6,8.51,ATM,77.164,38.62,43.966426309322735
42,PETRN314,CALL,16,30.26,0.01,0.02,0.01,ATM,40.462,38.62,45.67625424135746
43,PETRB316,CALL,16,30.51,8.38,8.36,8.26,ATM,59.536,38.62,45.31577342519748
44,PETRN316,CALL,16,30.51,0.01,0.02,0.01,ATM,35.707,38.62,44.36108690608994
45,PETRB319,CALL,16,30.76,8.03,8.11,8.02,ATM,61.312,38.62,43.46081610408107
46,PETRN319,CALL,16,30.76,0.01,0.02,0.01,ATM,37.893,38.62,43.053201871285665
47,PETRB321,CALL,16,31.01,7.88,7.86,7.77,ATM,53.678,38.62,41.60809540562396
48,PETRN321,CALL,16,31.01,0.01,0.02,0.01,ATM,36.615,38.62,41.75232082757292
49,PETRB324,CALL,16,31.26,7.64,7.61,7.52,ATM,76.551,38.62,39.75469013753303
50,PETRN324,CALL,16,31.26,0.01,0.02,0.01,ATM,35.343,38.62,40.45816109007574
51,PETRB326,CALL,16,31.51,7.39,7.36,7.28,ATM,56.437,38.62,37.89677376846595
52,PETRN326,CALL,16,31.51,0.02,0.02,0.01,ATM,36.276,38.62,39.17043453241813
53,PETRB329,CALL,16,31.76,7.12,7.12,7.03,ATM,71.771,38.62,38.90577206090866
54,PETRN329,CALL,16,31.76,0.02,0.03,0.02,ATM,32.813,38.62,40.27701508328972
55,PETRB331,CALL,16,32.01,6.9,6.87,6.79,ATM,43.7,38.62,37.15066482024743
56,PETRN331,CALL,16,32.01,0.02,0.03,0.02,ATM,33.632,38.62,38.93842903076533
57,PETRB334,CALL,16,32.26,6.65,6.62,6.54,ATM,45.155,38.62,35.4011421894332
58,PETRN334,CALL,16,32.26,0.02,0.03,0.02,ATM,32.315,38.62,37.60536136029054
59,PETRB336,CALL,16,32.51,6.4,6.38,6.28,ATM,47.357,38.62,35.95402894212407
60,PETRN336,CALL,16,32.51,0.03,0.04,0.02,ATM,31.01,38.62,38.05449278803993
61,PETRB339,CALL,16,32.76,6.14,6.14,6.05,ATM,41.083,38.62,36.11246255337325
62,PETRN339,CALL,16,32.76,0.03,0.04,0.03,ATM,31.226,38.62,36.68207041531308
63,PETRB341,CALL,16,33.01,6.03,5.88,5.81,ATM,40.095,38.62,32.59245736610191
64,PETRN341,CALL,16,33.01,0.03,0.04,0.03,ATM,29.869,38.62,35.31397013428402
65,PETRB344,CALL,16,33.26,5.65,5.65,5.56,ATM,58.07,38.62,34.359934394050114
66,PETRN344,CALL,16,33.26,0.04,0.05,0.03,ATM,29.749,38.62,35.350624407826956
67,PETRB346,CALL,16,33.51,5.4,5.4,5.32,ATM,39.125,38.62,32.72392164489249
68,PETRN346,CALL,16,33.51,0.04,0.05,0.04,ATM,28.359,38.62,33.94824390709226
69,PETRB349,CALL,16,33.76,5.22,5.16,5.07,ATM,39.514,38.62,32.43375378020439
70,PETRN349,CALL,16,33.76,0.04,0.06,0.04,ATM,26.965,38.62,33.72299178418346
71,PETRB351,CALL,16,34.01,4.84,4.91,4.83,ATM,39.65,38.62,30.812348268195443
72,PETRN351,CALL,16,34.01,0.06,0.06,0.05,ATM,27.463,38.62,32.28909367467426
73,PETRB354,CALL,16,34.26,4.68,4.68,4.59,ATM,35.4,38.62,31.40553880041334
74,PETRN354,CALL,16,34.26,0.06,0.07,0.06,ATM,26.805,38.62,31.861373467372662
75,PETRB356,CALL,16,34.51,4.35,4.38,4.35,ATM,33.111,38.62,22.690564687477448
76,PETRN356,CALL,16,34.51,0.08,0.08,0.06,ATM,26.728,38.62,31.297614825791424
77,PETRB359,CALL,16,34.76,4.02,4.2,4.11,ATM,32.703,38.62,29.940128760957172
78,PETRN359,CALL,16,34.76,0.08,0.09,0.07,ATM,25.806,38.62,30.61938627726667
79,PETRB361,CALL,16,35.01,4.09,3.92,3.88,ATM,34.582,38.62,25.547892922018118
80,PETRN361,CALL,16,35.01,0.09,0.1,0.09,ATM,24.799,38.62,29.841754000297037
81,PETRB364,CALL,16,35.26,3.81,3.69,3.64,ATM,31.041,38.62,25.821245117185786
82,PETRN364,CALL,16,35.26,0.1,0.11,0.1,ATM,24.244,38.62,28.975487450928934
83,PETRB366,CALL,16,35.51,3.4,3.45,3.41,ATM,30.234,38.62,25.002898261672613
84,PETRN366,CALL,16,35.51,0.13,0.13,0.12,ATM,23.993,38.62,28.640771329698033
85,PETRB369,CALL,16,35.76,3.2,3.22,3.18,ATM,29.657,38.62,24.783214272185887
86,PETRN369,CALL,16,35.76,0.15,0.15,0.13,ATM,23.521,38.62,28.130796367101773
87,PETRB371,CALL,16,36.01,3.02,3.0,2.96,ATM,38.924,38.62,24.92969735132809
88,PETRN371,CALL,16,36.01,0.18,0.17,0.16,ATM,23.237,38.62,27.471313239616357
89,PETRB374,CALL,16,36.26,2.81,2.78,2.74,ATM,28.98,38.62,24.772644691580485
90,PETRN374,CALL,16,36.26,0.19,0.19,0.18,ATM,22.371,38.62,26.679315264719627
91,PETRB376,CALL,16,36.51,2.51,2.55,2.52,ATM,27.91,38.62,23.91996204145068
92,PETRN376,CALL,16,36.51,0.22,0.22,0.21,ATM,22.001,38.62,26.19276056558088
93,PETRB379,CALL,16,36.76,2.3,2.34,2.31,ATM,27.271,38.62,23.78976648779573
94,PETRN379,CALL,16,36.76,0.26,0.26,0.25,ATM,21.391,38.62,25.920479630231945
95,PETRB381,CALL,16,37.01,2.11,2.12,2.11,ATM,26.168,38.62,23.026221127946485
96,PETRN381,CALL,16,37.01,0.3,0.3,0.29,ATM,21.128,38.62,25.433855522689687
97,PETRB384,CALL,16,37.26,1.91,1.92,1.9,ATM,25.426,38.62,22.808332624363185
98,PETRN384,CALL,16,37.26,0.36,0.35,0.34,ATM,20.59,38.62,25.089977636646626
99,PETRB386,CALL,16,37.51,1.72,1.73,1.72,ATM,24.992,38.62,22.661971069952642
100,PETRN386,CALL,16,37.51,0.4,0.41,0.39,ATM,19.784,38.62,24.840131896957914
101,PETRB389,CALL,16,37.76,1.53,1.54,1.53,ATM,26.108,38.62,22.24824191524601
102,PETRN389,CALL,16,37.76,0.46,0.47,0.46,ATM,20.239,38.62,24.354303991236176
103,PETRB380,CALL,16,38.01,1.36,1.37,1.36,ATM,24.154,38.62,22.161257042203143
104,PETRN380,CALL,16,38.01,0.54,0.54,0.53,ATM,19.344,38.62,23.928895898780684
105,PETRB394,CALL,16,38.26,1.2,1.21,1.2,ATM,23.98,38.62,22.061379232042093
106,PETRN394,CALL,16,38.26,0.62,0.63,0.62,ATM,19.141,38.62,23.80667372825781
107,PETRB38,CALL,16,38.51,1.05,1.06,1.05,ATM,23.012,38.62,21.93750604107499
108,PETRN38,CALL,16,38.51,0.72,0.73,0.71,ATM,18.588,38.62,23.680831954215137
109,PETRB399,CALL,16,38.76,0.91,0.92,0.91,ATM,23.331,38.62,21.781723322009974
110,PETRN399,CALL,16,38.76,0.85,0.84,0.83,ATM,17.915,38.62,23.54358255009095
111,PETRB390,CALL,16,39.01,0.78,0.79,0.78,ATM,23.119,38.62,21.587989401314655
112,PETRN390,CALL,16,39.01,0.96,0.96,0.95,ATM,17.688,38.62,23.389907532218075
113,PETRB404,CALL,16,39.26,0.66,0.68,0.67,ATM,22.901,38.62,21.611325973339344
114,PETRN404,CALL,16,39.26,1.1,1.1,1.08,ATM,17.036,38.62,23.47647145613292
115,PETRB395,CALL,16,39.51,0.57,0.58,0.56,ATM,22.375,38.62,21.599441581406968
116,PETRN395,CALL,16,39.51,1.24,1.25,1.23,ATM,16.186,38.62,23.55281268826773
117,PETRB409,CALL,16,39.76,0.48,0.49,0.48,ATM,22.167,38.62,21.56026664203988
118,PETRN409,CALL,16,39.76,1.38,1.41,1.38,ATM,16.469,38.62,23.62972745677317
119,PETRB400,CALL,16,40.01,0.4,0.41,0.4,ATM,22.392,38.62,21.504282457930852
120,PETRN400,CALL,16,40.01,1.58,1.58,1.55,ATM,11.08,38.62,23.721561260459833
121,PETRB414,CALL,16,40.26,0.34,0.35,0.33,ATM,23.197,38.62,21.754589856576434
122,PETRN414,CALL,16,40.26,1.77,1.76,1.74,ATM,13.416,38.62,23.847609916446558
123,PETRB405,CALL,16,40.51,0.28,0.29,0.28,ATM,22.996,38.62,21.740241088266142
124,PETRN405,CALL,16,40.51,1.9,1.95,1.92,ATM,39.272,38.62,24.033898601643386
125,PETRB419,CALL,16,40.76,0.23,0.24,0.23,ATM,22.976,38.62,21.783599756192004
126,PETRN419,CALL,16,40.76,1.97,2.15,2.12,ATM,0.0,38.62,24.31517675166871
127,PETRB410,CALL,16,41.01,0.19,0.2,0.19,ATM,23.25,38.62,21.93251637588275
128,PETRN410,CALL,16,41.01,2.31,2.47,2.23,ATM,10.129,38.62,28.49636808325994
129,PETRB424,CALL,16,41.26,0.16,0.17,0.16,ATM,22.667,38.62,22.25433768512313
130,PETRN424,CALL,16,41.26,3.24,2.69,2.45,ATM,31.763,38.62,29.316416153900544
131,PETRB415,CALL,16,41.51,0.14,0.14,0.13,ATM,23.158,38.62,22.360689269154125
132,PETRN415,CALL,16,41.51,3.17,2.91,2.67,ATM,3.277,38.62,30.021267435903592
133,PETRB429,CALL,16,41.76,0.11,0.12,0.11,ATM,24.329,38.62,22.747223629860823
134,PETRN429,CALL,16,41.76,3.33,3.14,2.89,ATM,6.729,38.62,30.98651512862499
135,PETRB420,CALL,16,42.01,0.1,0.1,0.09,ATM,24.653,38.62,22.954188193560068
136,PETRN420,CALL,16,42.01,3.5,3.37,3.13,ATM,36.321,38.62,31.869738775698238
137,PETRB434,CALL,16,42.26,0.08,0.09,0.08,ATM,23.784,38.62,23.61008584383631
138,PETRB425,CALL,16,42.51,0.07,0.08,0.07,ATM,24.821,38.62,24.166262630816902
139,PETRB439,CALL,16,42.76,0.06,0.07,0.06,ATM,24.565,38.62,24.612839596640228
140,PETRB430,CALL,16,43.01,0.06,0.06,0.05,ATM,25.537,38.62,24.934772058728257
141,PETRN430,CALL,16,43.01,4.42,4.59,3.78,ATM,0.0,38.62,46.566453343871466
